File Name,Date,Particulars,Vch Type,Vch No.,Debit,Credit
PINKY MOTORS.pdf,10-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1720.00 Dr
CGST
240.80 Dr
SGST
240.80 Dr",332,2201.60,
PINKY MOTORS.pdf,21-Jun-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
1880.00 Dr
CGST
263.20 Dr
CGST
358.20 Dr
SGST
263.20 Dr
SGST
358.20 Dr",270,4696.40,
PINKY MOTORS.pdf,21-Jun-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
1880.00 Dr
CGST
263.20 Dr
CGST
358.20 Dr
SGST
263.20 Dr
SGST
358.20 Dr",271,4696.40,
PINKY MOTORS.pdf,13-Jul-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1020.00 Dr
CGST
91.80 Dr
SGST
91.80 Dr",272,1020.00,
PINKY MOTORS.pdf,11-Oct-19,"(as per details)
PURCHASES
CGST
SGST",Payment,1498,,5775.00
PINKY MOTORS.pdf,11-Oct-19,"(as per details)
PURCHASES
CGST
SGST",Payment,273,,5775.00
MULTITECH SOLUTIONS.pdf,30-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
500.00 Dr
CGST
45.00 Dr
SGST
45.00 Dr",357,500.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,15-Apr-19,"HDFC Bank  9564 3,00,000.00 103 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,103,,300000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,30-Apr-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
59320.00 Dr
CGST
5338.80 Dr
CGST
5338.80 Dr
SGST
5338.80 Dr
SGST
5338.80 Dr",106,70000.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,30-Apr-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
59320.00 Dr
CGST
5338.80 Dr
CGST
5338.80 Dr
SGST
5338.80 Dr
SGST
5338.80 Dr",109,70000.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,1-May-19,"HDFC Bank  9564 3,00,000.00 276 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,276,,300000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,6-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
75000.00 Dr
CGST
6750.00 Dr
SGST
6750.00 Dr",107,88500.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,8-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
95765.30 Dr
CGST
8618.85 Dr
SGST
8618.85 Dr",108,113003.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,18-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
54000.00 Dr
CGST
4860.00 Dr
SGST
4860.00 Dr",110,63720.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,7-Jun-19,"HDFC Bank  9564 1,00,000.00 553 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,553,,100000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,10-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
62500.00 Dr
CGST
5625.00 Dr
SGST
5625.00 Dr",100,73750.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,14-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
37500.00 Dr
CGST
3375.00 Dr
SGST
3375.00 Dr",111,44250.00,
