File Name,Date,Particulars,Vch Type,Vch No.,Debit,Credit
PINKY MOTORS.pdf,10-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1720.00 Dr
CGST
240.80 Dr
SGST
240.80 Dr",332.0,2201.6,
PINKY MOTORS.pdf,21-Jun-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
1880.00 Dr
CGST
263.20 Dr
CGST
358.20 Dr
SGST
263.20 Dr
SGST
358.20 Dr",270.0,4696.4,
PINKY MOTORS.pdf,21-Jun-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
1880.00 Dr
CGST
263.20 Dr
CGST
358.20 Dr
SGST
263.20 Dr
SGST
358.20 Dr",271.0,4696.4,
PINKY MOTORS.pdf,13-Jul-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1020.00 Dr
CGST
91.80 Dr
SGST
91.80 Dr",272.0,1020.0,
PINKY MOTORS.pdf,11-Oct-19,"(as per details)
PURCHASES
CGST
SGST",Payment,1498.0,,5775.0
PINKY MOTORS.pdf,11-Oct-19,"(as per details)
PURCHASES
CGST
SGST",Payment,273.0,,5775.0
MULTITECH SOLUTIONS.pdf,30-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
500.00 Dr
CGST
45.00 Dr
SGST
45.00 Dr",357.0,500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,15-Apr-19,"HDFC Bank  9564 3,00,000.00 103 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,103.0,,300000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,30-Apr-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
59320.00 Dr
CGST
5338.80 Dr
CGST
5338.80 Dr
SGST
5338.80 Dr
SGST
5338.80 Dr",106.0,70000.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,30-Apr-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
59320.00 Dr
CGST
5338.80 Dr
CGST
5338.80 Dr
SGST
5338.80 Dr
SGST
5338.80 Dr",109.0,70000.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,1-May-19,"HDFC Bank  9564 3,00,000.00 276 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,276.0,,300000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,6-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
75000.00 Dr
CGST
6750.00 Dr
SGST
6750.00 Dr",107.0,88500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,8-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
95765.30 Dr
CGST
8618.85 Dr
SGST
8618.85 Dr",108.0,113003.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,18-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
54000.00 Dr
CGST
4860.00 Dr
SGST
4860.00 Dr",110.0,63720.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,7-Jun-19,"HDFC Bank  9564 1,00,000.00 553 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,553.0,,100000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,10-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
62500.00 Dr
CGST
5625.00 Dr
SGST
5625.00 Dr",100.0,73750.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,14-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
37500.00 Dr
CGST
3375.00 Dr
SGST
3375.00 Dr",111.0,44250.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,14-Jun-19,Transaction details,Purchase,,1014396.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,17-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
54000.00 Dr
CGST
4860.00 Dr
SGST
4860.00 Dr",112.0,63720.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,21-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
25000.00 Dr
CGST
2250.00 Dr
SGST
2250.00 Dr",113.0,29500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,13-Jul-19,"(as per details)
CGST
SGST","PURCHASES
CGST
9457.65 Dr
SGST
9457.65 Dr",114.0,124001.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,1-Aug-19,"HDFC Bank  9564 2,00,000.00 1063 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,1063.0,,200000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,5-Aug-19,"(as per details)
CGST
SGST","PURCHASES
CGST
13309.38 Dr
SGST
13309.38 Dr",115.0,174500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,23-Aug-19,"(as per details)
CGST
SGST",Payment,1193.0,,180000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,23-Aug-19,"(as per details)
CGST
SGST",Payment,1195.0,,180000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,23-Aug-19,"(as per details)
CGST
SGST",Payment,116.0,,180000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,17-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
21610.20 Dr
CGST
1944.90 Dr
SGST
1944.90 Dr",117.0,25500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,23-Sep-19,"HDFC Bank  9564 2,00,000.00 1384 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,1384.0,,200000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,18-Oct-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
54000.00 Dr
CGST
4860.00 Dr
SGST
4860.00 Dr",118.0,63720.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,18-Oct-19,Transaction details,Purchase,,1652655.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,6-Nov-19,"HDFC Bank  9564 2,00,000.00 1646 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,1646.0,,200000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,20-Nov-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
25000.00 Dr
CGST
2250.00 Dr
SGST
2250.00 Dr",119.0,29500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,6-Dec-19,"HDFC Bank  9564 50,000.00 1788 Payment
IMPS-934011348245-SANWA DIMOND
XXXXXXXXXXX2321",Payment,1788.0,,50000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,10-Dec-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
29576.32 Dr
CGST
2661.84 Dr
SGST
2661.84 Dr",101.0,34900.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,31-Jan-20,"(as per details)
PURCHASES
CGST
SGST",Payment,1995.0,,99000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,31-Jan-20,"(as per details)
PURCHASES
CGST
SGST",Payment,1997.0,,99000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,31-Jan-20,"(as per details)
PURCHASES
CGST
SGST",Payment,102.0,,99000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,1-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
22882.00 Dr
CGST
2059.38 Dr
SGST
2059.38 Dr",103.0,27000.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,5-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
25000.00 Dr
CGST
2250.00 Dr
SGST
2250.00 Dr",120.0,29500.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,6-Feb-20,"HDFC Bank  9564 50,000.00 2025 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,2025.0,,50000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,4-Mar-20,"HDFC Bank  9564 1,00,000.00 2121 Payment",Payment,2121.0,,100000.0
SANWA DIAMOND TOOLS PVT LTD.pdf,9-Mar-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
83262.48 Dr
CGST
7493.76 Dr
SGST
7493.76 Dr",104.0,98250.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,9-Mar-20,Transaction details,Purchase,,1898805.0,
SANWA DIAMOND TOOLS PVT LTD.pdf,16-Mar-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
12500.00 Dr
CGST
1125.00 Dr
SGST
1125.00 Dr",105.0,14750.0,
IMPERIAL.pdf,10-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
23339.32 Dr
CGST
2100.54 Dr
SGST
2100.14 Dr",331.0,27540.0,
LIFESTYLE-YOU.pdf,20-Jun-19,"(as per details)
PURCHASES
IGST","PURCHASES
592.37 Dr
IGST
106.63 Dr",35.0,592.37,
R S ENTERPRISES.pdf,7-Feb-20,"(as per details)
PURCHASES
IGST
BEING PURCHASES MADE VIDE INVOICE
NO  SDEE-","PURCHASES
660.17 Dr
IGST
118.83 Dr",15.0,660.17,
MAX GLOBAL AGENCY.pdf,10-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1120.40 Dr
CGST
100.80 Dr
SGST
100.80 Dr",213.0,1120.4,
MAX GLOBAL AGENCY.pdf,15-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
2240.00 Dr
CGST
201.60 Dr
SGST
201.60 Dr",215.0,2240.0,
MAX GLOBAL AGENCY.pdf,3-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
890.00 Dr
CGST
80.10 Dr
SGST
80.10 Dr",212.0,890.0,
MAX GLOBAL AGENCY.pdf,3-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
450.00 Dr
CGST
40.50 Dr
SGST
40.50 Dr",214.0,450.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,15-Apr-19,"HDFC Bank  9564 50,000.00 104 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,104.0,,50000.0
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-May-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",50.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Jun-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",363.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,6-Jun-19,"HDFC Bank  9564 50,000.00 547 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,547.0,,50000.0
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Jul-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",52.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Aug-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",53.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,13-Aug-19,"HDFC Bank  9564 50,000.00 1122 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,1122.0,,50000.0
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Sep-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",54.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,26-Sep-19,"HDFC Bank  9564 50,000.00 1411 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,1411.0,,50000.0
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Oct-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",55.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,4-Oct-19,"HDFC Bank  9564 5,000.00 1439 Payment
NEFT DR-SBIN0000164-PERMESER",Payment,1439.0,,5000.0
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Nov-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",56.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Nov-19,Transaction details,Purchase,,297780.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Dec-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",57.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,16-Dec-19,"HDFC Bank  9564 50,000.00 1824 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,1824.0,,50000.0
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Jan-20,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",58.0,31860.0,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Feb-20,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",360.0,31860.0,
